X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,y
59,26.0,-10.0,-15.0,-11.0,-6.0,14.0,64.0,84.0,88.0,99.0,86.0,52.0,49.0,67.0,60.0,0.0
-42,-22.0,-3.0,3.0,2.0,-17.0,-44.0,-50.0,-44.0,-28.0,-3.0,18.0,19.0,12.0,2.0,-23.0,0.0
-24,-32.0,-28.0,-18.0,-10.0,5.0,30.0,53.0,60.0,57.0,46.0,28.0,24.0,29.0,47.0,52.0,0.0
23,28.0,17.0,11.0,18.0,24.0,28.0,4.0,-29.0,-62.0,-76.0,-85.0,-110.0,-131.0,-149.0,-147.0,0.0
104,82.0,64.0,65.0,89.0,113.0,141.0,158.0,169.0,174.0,189.0,201.0,212.0,197.0,167.0,133.0,0.0
93,123.0,131.0,133.0,116.0,98.0,95.0,88.0,79.0,78.0,72.0,70.0,75.0,58.0,19.0,-14.0,0.0
44,36.0,35.0,35.0,38.0,42.0,42.0,32.0,15.0,1.0,-19.0,-31.0,-30.0,-12.0,14.0,50.0,0.0
18,40.0,32.0,13.0,28.0,23.0,8.0,1.0,24.0,25.0,-2.0,-5.0,-11.0,-35.0,-63.0,-70.0,0.0
-37,-44.0,-48.0,-48.0,-38.0,-18.0,11.0,40.0,48.0,48.0,44.0,39.0,29.0,24.0,26.0,25.0,0.0
-150,-182.0,-177.0,-129.0,-84.0,-27.0,10.0,4.0,-42.0,-91.0,-128.0,-158.0,-164.0,-151.0,-134.0,-121.0,0.0
-3,-24.0,-27.0,-6.0,15.0,29.0,48.0,78.0,88.0,71.0,64.0,57.0,37.0,38.0,67.0,84.0,0.0
3,-12.0,-22.0,-37.0,-63.0,-86.0,-82.0,-51.0,-30.0,-13.0,-20.0,-29.0,-38.0,-29.0,-15.0,-23.0,0.0
-23,7.0,21.0,20.0,18.0,4.0,-21.0,-56.0,-46.0,-22.0,-31.0,-66.0,-99.0,-121.0,-140.0,-130.0,0.0
9,-27.0,-37.0,-22.0,3.0,5.0,-2.0,-17.0,-35.0,-37.0,-27.0,-2.0,15.0,34.0,50.0,68.0,0.0
-17,-7.0,0.0,13.0,14.0,3.0,-26.0,-72.0,-125.0,-163.0,-168.0,-152.0,-132.0,-112.0,-96.0,-92.0,0.0
70,54.0,-14.0,-100.0,-108.0,-98.0,-94.0,-68.0,-31.0,27.0,102.0,154.0,161.0,115.0,35.0,-33.0,0.0
27,46.0,63.0,89.0,92.0,75.0,23.0,-31.0,-90.0,-133.0,-161.0,-181.0,-191.0,-183.0,-141.0,-96.0,0.0
4,5.0,-3.0,-12.0,-18.0,-6.0,-1.0,-3.0,-6.0,-5.0,-14.0,-27.0,-27.0,-36.0,-41.0,-65.0,0.0
-83,-69.0,-43.0,-25.0,-1.0,38.0,89.0,133.0,153.0,153.0,124.0,74.0,17.0,-25.0,-46.0,-53.0,0.0
-81,-117.0,-146.0,-175.0,-205.0,-199.0,-161.0,-143.0,-124.0,-87.0,-46.0,-18.0,21.0,42.0,48.0,18.0,0.0
-18,-50.0,-21.0,23.0,18.0,37.0,39.0,70.0,72.0,51.0,23.0,-11.0,1.0,-6.0,-61.0,-40.0,0.0
-76,-27.0,25.0,22.0,-23.0,-56.0,-44.0,-45.0,-74.0,-27.0,-20.0,-28.0,1.0,-26.0,-12.0,32.0,0.0
-6,-14.0,-20.0,-18.0,-4.0,22.0,45.0,64.0,66.0,44.0,23.0,11.0,25.0,37.0,44.0,33.0,0.0
-82,-83.0,-75.0,-54.0,-27.0,-3.0,31.0,28.0,-17.0,-65.0,-108.0,-147.0,-190.0,-184.0,-139.0,-83.0,0.0
-86,-75.0,-76.0,-62.0,-40.0,-26.0,-29.0,-25.0,-12.0,-12.0,1.0,2.0,-6.0,-32.0,-64.0,-76.0,0.0
0,7.0,36.0,52.0,78.0,101.0,81.0,26.0,-9.0,-25.0,-40.0,-34.0,17.0,48.0,57.0,75.0,0.0
-143,-213.0,-242.0,-226.0,-185.0,-121.0,-50.0,15.0,74.0,123.0,145.0,133.0,87.0,14.0,-83.0,-164.0,0.0
36,58.0,91.0,97.0,80.0,56.0,29.0,3.0,-2.0,2.0,5.0,9.0,22.0,37.0,53.0,64.0,0.0
42,30.0,-5.0,-52.0,-94.0,-130.0,-145.0,-137.0,-103.0,-61.0,-23.0,3.0,7.0,14.0,31.0,46.0,0.0
-32,-6.0,20.0,38.0,46.0,41.0,44.0,42.0,46.0,52.0,58.0,51.0,25.0,1.0,-27.0,-45.0,0.0
31,65.0,84.0,92.0,84.0,58.0,6.0,-43.0,-68.0,-71.0,-52.0,-27.0,-5.0,11.0,34.0,57.0,0.0
10,54.0,89.0,90.0,73.0,44.0,5.0,-41.0,-93.0,-144.0,-195.0,-216.0,-217.0,-184.0,-147.0,-99.0,0.0
-77,-70.0,-64.0,-41.0,-5.0,8.0,5.0,1.0,-12.0,-37.0,-9.0,13.0,-21.0,-30.0,-15.0,-1.0,0.0
0,-14.0,-71.0,-92.0,-112.0,-79.0,-53.0,-37.0,-25.0,2.0,-6.0,-20.0,-60.0,-69.0,-74.0,-65.0,0.0
-1,7.0,18.0,34.0,48.0,48.0,22.0,11.0,3.0,-15.0,-26.0,-17.0,-9.0,-4.0,7.0,6.0,0.0
-7,0.0,-5.0,-14.0,2.0,-1.0,-11.0,-23.0,-49.0,-43.0,3.0,26.0,25.0,21.0,9.0,-17.0,0.0
17,-4.0,-14.0,-13.0,-1.0,7.0,-6.0,-27.0,-36.0,-33.0,-26.0,-13.0,-4.0,-9.0,-13.0,-36.0,0.0
41,36.0,21.0,-18.0,-61.0,-95.0,-114.0,-125.0,-124.0,-103.0,-79.0,-53.0,-31.0,-4.0,14.0,34.0,0.0
34,52.0,77.0,74.0,49.0,9.0,-44.0,-91.0,-137.0,-168.0,-180.0,-169.0,-140.0,-114.0,-91.0,-63.0,0.0
-2,-18.0,-35.0,-56.0,-65.0,-49.0,-21.0,11.0,46.0,70.0,87.0,91.0,102.0,96.0,80.0,73.0,0.0
25,24.0,17.0,-5.0,-31.0,-26.0,-13.0,4.0,15.0,35.0,52.0,44.0,25.0,2.0,-8.0,-3.0,0.0
-29,-55.0,-87.0,-106.0,-108.0,-57.0,-11.0,23.0,23.0,-7.0,-45.0,-69.0,-78.0,-79.0,-72.0,-58.0,0.0
82,56.0,20.0,17.0,10.0,1.0,-35.0,-70.0,-111.0,-150.0,-153.0,-143.0,-125.0,-128.0,-146.0,-154.0,0.0
-91,-72.0,-49.0,-34.0,-34.0,-46.0,-48.0,-36.0,-20.0,1.0,17.0,9.0,-22.0,-69.0,-98.0,-124.0,0.0
87,61.0,44.0,45.0,59.0,71.0,62.0,47.0,29.0,25.0,40.0,57.0,68.0,65.0,73.0,85.0,0.0
-64,16.0,80.0,124.0,145.0,158.0,143.0,109.0,68.0,25.0,-33.0,-83.0,-111.0,-103.0,-59.0,1.0,0.0
2,-7.0,-21.0,-22.0,-12.0,-4.0,-11.0,-19.0,-23.0,-24.0,-5.0,24.0,50.0,65.0,78.0,85.0,0.0
33,9.0,-12.0,-26.0,-38.0,-38.0,-37.0,-43.0,-48.0,-44.0,-15.0,3.0,24.0,38.0,35.0,24.0,0.0
1,17.0,38.0,40.0,45.0,46.0,37.0,21.0,23.0,21.0,10.0,12.0,29.0,22.0,21.0,32.0,0.0
-88,-86.0,-47.0,-2.0,22.0,19.0,7.0,-4.0,-7.0,-4.0,-22.0,-44.0,-30.0,-1.0,12.0,23.0,0.0
4,43.0,69.0,68.0,62.0,39.0,29.0,30.0,25.0,2.0,-35.0,-68.0,-90.0,-86.0,-63.0,-40.0,0.0
99,101.0,86.0,78.0,80.0,83.0,83.0,63.0,36.0,0.0,-12.0,7.0,32.0,51.0,71.0,87.0,0.0
244,261.0,238.0,171.0,80.0,-18.0,-104.0,-150.0,-169.0,-163.0,-137.0,-77.0,0.0,82.0,157.0,233.0,0.0
68,23.0,-29.0,-63.0,-91.0,-114.0,-118.0,-104.0,-88.0,-69.0,-33.0,-9.0,3.0,-1.0,5.0,17.0,0.0
27,43.0,83.0,148.0,154.0,167.0,184.0,166.0,112.0,63.0,26.0,-18.0,-42.0,-63.0,-58.0,-64.0,0.0
34,102.0,149.0,128.0,84.0,45.0,-1.0,-30.0,-22.0,15.0,51.0,103.0,152.0,182.0,181.0,146.0,0.0
-88,-79.0,-61.0,-18.0,20.0,57.0,52.0,18.0,-12.0,-31.0,-32.0,-42.0,-65.0,-99.0,-116.0,-102.0,0.0
-38,-35.0,-3.0,13.0,8.0,15.0,35.0,41.0,31.0,38.0,41.0,12.0,-22.0,-60.0,-88.0,-98.0,0.0
134,86.0,10.0,-68.0,-136.0,-159.0,-158.0,-122.0,-73.0,-26.0,3.0,11.0,19.0,11.0,-8.0,-25.0,0.0
29,20.0,12.0,-2.0,-3.0,6.0,8.0,-1.0,-14.0,-25.0,-28.0,-16.0,0.0,25.0,29.0,17.0,0.0
3,24.0,27.0,-13.0,-43.0,-53.0,-61.0,-63.0,-57.0,-58.0,-38.0,3.0,52.0,65.0,50.0,4.0,0.0
-12,6.0,22.0,54.0,68.0,65.0,51.0,45.0,45.0,45.0,54.0,51.0,39.0,20.0,4.0,-11.0,0.0
-167,-131.0,-87.0,-60.0,-28.0,-9.0,14.0,32.0,37.0,8.0,-58.0,-123.0,-190.0,-240.0,-251.0,-222.0,0.0
-9,-11.0,-8.0,-7.0,-3.0,0.0,-4.0,-2.0,12.0,33.0,46.0,57.0,69.0,60.0,50.0,30.0,0.0
-23,-21.0,-10.0,-3.0,-14.0,-32.0,-38.0,-41.0,-80.0,-16.0,23.0,31.0,33.0,33.0,41.0,36.0,0.0
-64,-64.0,-69.0,-1.0,14.0,22.0,0.0,55.0,67.0,107.0,125.0,77.0,34.0,-43.0,-103.0,-120.0,0.0
-28,-34.0,-35.0,-31.0,-2.0,-28.0,-38.0,-41.0,-45.0,-35.0,-10.0,23.0,64.0,88.0,44.0,-8.0,0.0
-110,-68.0,-10.0,20.0,4.0,-36.0,-70.0,-104.0,-168.0,-180.0,-150.0,-126.0,-121.0,-114.0,-104.0,-100.0,0.0
-51,-39.0,-38.0,-29.0,-23.0,-1.0,43.0,92.0,122.0,104.0,73.0,31.0,-3.0,-51.0,-91.0,-120.0,0.0
-48,4.0,44.0,78.0,100.0,107.0,105.0,89.0,40.0,-25.0,-50.0,-42.0,-31.0,-29.0,-16.0,-7.0,0.0
-37,-7.0,13.0,21.0,7.0,-21.0,-48.0,-61.0,-76.0,-82.0,-82.0,-84.0,-90.0,-92.0,-80.0,-59.0,0.0
48,45.0,29.0,12.0,4.0,-3.0,-13.0,-25.0,-47.0,-68.0,-75.0,-63.0,-46.0,-36.0,-25.0,-23.0,0.0
129,64.0,-29.0,-113.0,-170.0,-182.0,-164.0,-128.0,-96.0,-59.0,-29.0,7.0,61.0,108.0,117.0,79.0,0.0
3,3.0,-1.0,-12.0,-23.0,-24.0,-27.0,-27.0,-30.0,-33.0,-37.0,-32.0,-20.0,-20.0,-20.0,-19.0,0.0
14,1.0,22.0,34.0,20.0,-24.0,-34.0,-18.0,-11.0,1.0,51.0,109.0,144.0,146.0,117.0,48.0,0.0
100,77.0,58.0,54.0,37.0,16.0,0.0,4.0,9.0,11.0,4.0,-11.0,-14.0,-4.0,14.0,22.0,0.0
-18,41.0,91.0,103.0,101.0,98.0,96.0,77.0,40.0,-12.0,-64.0,-88.0,-85.0,-57.0,-20.0,20.0,0.0
71,76.0,70.0,63.0,39.0,30.0,31.0,30.0,40.0,55.0,74.0,88.0,93.0,94.0,78.0,68.0,0.0
16,37.0,38.0,26.0,4.0,-12.0,-16.0,-15.0,-7.0,-8.0,-15.0,-27.0,-33.0,-36.0,-25.0,-1.0,0.0
-81,-84.0,-75.0,-57.0,-40.0,-6.0,31.0,66.0,81.0,94.0,91.0,73.0,29.0,-32.0,-99.0,-141.0,0.0
-54,-15.0,25.0,64.0,92.0,89.0,52.0,15.0,-22.0,-43.0,-53.0,-66.0,-77.0,-75.0,-62.0,-48.0,0.0
-42,-31.0,9.0,35.0,21.0,18.0,23.0,26.0,14.0,-1.0,-10.0,-26.0,-20.0,-19.0,-19.0,-1.0,0.0
-5,17.0,23.0,24.0,20.0,16.0,31.0,46.0,59.0,51.0,58.0,65.0,63.0,30.0,-27.0,-73.0,0.0
-83,-42.0,15.0,55.0,45.0,18.0,-19.0,-43.0,-8.0,-7.0,10.0,62.0,88.0,77.0,81.0,42.0,0.0
8,31.0,59.0,69.0,55.0,26.0,3.0,-16.0,-20.0,-13.0,-6.0,16.0,60.0,88.0,110.0,106.0,0.0
-6,-6.0,-10.0,-31.0,-55.0,-71.0,-84.0,-71.0,-46.0,-25.0,-9.0,22.0,56.0,53.0,38.0,-2.0,0.0
25,-28.0,-103.0,-170.0,-217.0,-237.0,-223.0,-179.0,-123.0,-82.0,-41.0,-13.0,12.0,41.0,66.0,76.0,0.0
2,3.0,-10.0,-39.0,-38.0,-34.0,-21.0,2.0,19.0,18.0,0.0,-12.0,-17.0,-24.0,-13.0,-32.0,0.0
-49,-58.0,-54.0,-35.0,-19.0,-5.0,-11.0,-11.0,-3.0,10.0,24.0,30.0,24.0,8.0,-3.0,-25.0,0.0
4,14.0,12.0,24.0,19.0,8.0,6.0,-5.0,-17.0,-41.0,-55.0,-70.0,-79.0,-69.0,-46.0,-22.0,0.0
73,60.0,42.0,42.0,13.0,-8.0,10.0,17.0,10.0,33.0,76.0,72.0,46.0,35.0,12.0,-25.0,0.0
-36,-30.0,-25.0,-36.0,-53.0,-66.0,-60.0,-53.0,-31.0,-12.0,6.0,9.0,-3.0,-17.0,-41.0,-51.0,0.0
-22,-9.0,8.0,19.0,34.0,34.0,27.0,16.0,18.0,19.0,20.0,28.0,20.0,10.0,-1.0,-4.0,0.0
-228,-206.0,-156.0,-93.0,-29.0,29.0,68.0,101.0,117.0,97.0,36.0,-42.0,-96.0,-132.0,-147.0,-153.0,0.0
6,12.0,27.0,49.0,66.0,67.0,58.0,46.0,47.0,38.0,37.0,32.0,14.0,-22.0,-66.0,-91.0,0.0
23,10.0,-7.0,-15.0,-27.0,-31.0,-40.0,-56.0,-74.0,-76.0,-67.0,-44.0,-4.0,32.0,62.0,83.0,0.0
33,23.0,19.0,24.0,26.0,34.0,49.0,68.0,76.0,69.0,54.0,30.0,13.0,6.0,2.0,-1.0,0.0
52,82.0,72.0,96.0,132.0,127.0,71.0,54.0,85.0,77.0,16.0,-7.0,40.0,83.0,63.0,63.0,0.0
35,57.0,73.0,58.0,14.0,-42.0,-69.0,-79.0,-62.0,-39.0,-17.0,12.0,48.0,79.0,83.0,73.0,0.0
-62,-73.0,-88.0,-91.0,-77.0,-34.0,-2.0,-3.0,5.0,24.0,-4.0,-43.0,-46.0,-64.0,-66.0,-46.0,0.0
-1,-11.0,-27.0,-37.0,-44.0,-50.0,-50.0,-49.0,-44.0,-51.0,-47.0,-43.0,-30.0,-5.0,22.0,32.0,0.0
-105,-80.0,-40.0,-12.0,22.0,44.0,55.0,38.0,1.0,-36.0,-50.0,-37.0,-13.0,1.0,-10.0,-7.0,0.0
-159,-160.0,-151.0,-117.0,-83.0,-30.0,13.0,54.0,97.0,132.0,149.0,162.0,164.0,157.0,133.0,92.0,0.0
1,-59.0,-116.0,-168.0,-223.0,-257.0,-195.0,-113.0,-77.0,16.0,81.0,122.0,146.0,143.0,117.0,59.0,0.0
32,10.0,-18.0,-41.0,-57.0,-74.0,-67.0,-47.0,-24.0,-15.0,-8.0,0.0,4.0,19.0,33.0,44.0,0.0
-45,-53.0,-55.0,-62.0,-95.0,-133.0,-132.0,-124.0,-102.0,-58.0,-16.0,6.0,14.0,15.0,-36.0,-91.0,0.0
106,82.0,27.0,-23.0,-52.0,-77.0,-77.0,-75.0,-69.0,-38.0,-17.0,17.0,37.0,50.0,53.0,20.0,0.0
-15,-3.0,-5.0,-24.0,-58.0,-68.0,-30.0,4.0,21.0,48.0,43.0,32.0,37.0,38.0,-5.0,-69.0,0.0
42,49.0,75.0,83.0,79.0,59.0,37.0,29.0,10.0,-5.0,-34.0,-69.0,-88.0,-82.0,-57.0,-23.0,0.0
-61,-71.0,-59.0,-42.0,-30.0,-37.0,-42.0,-58.0,-59.0,-64.0,-73.0,-85.0,-82.0,-41.0,15.0,71.0,0.0
66,63.0,54.0,49.0,41.0,39.0,37.0,28.0,14.0,6.0,10.0,11.0,12.0,16.0,14.0,8.0,0.0
-8,-38.0,-45.0,-35.0,-15.0,-7.0,-3.0,-2.0,-11.0,-13.0,-11.0,-12.0,-13.0,-4.0,11.0,22.0,0.0
123,97.0,68.0,29.0,-21.0,-43.0,-35.0,-24.0,-15.0,28.0,76.0,75.0,46.0,31.0,7.0,-22.0,0.0
7,12.0,14.0,13.0,23.0,20.0,2.0,-11.0,-19.0,-44.0,-76.0,-74.0,-67.0,-55.0,-11.0,32.0,0.0
-182,-133.0,-78.0,-21.0,11.0,18.0,-1.0,-34.0,-74.0,-94.0,-97.0,-96.0,-118.0,-152.0,-175.0,-176.0,0.0
-5,42.0,71.0,84.0,72.0,47.0,16.0,-13.0,-54.0,-96.0,-135.0,-159.0,-166.0,-154.0,-120.0,-87.0,0.0
9,36.0,39.0,38.0,34.0,15.0,-1.0,-16.0,-28.0,-38.0,-41.0,-44.0,-64.0,-69.0,-64.0,-53.0,0.0
-262,-200.0,-120.0,-81.0,-57.0,10.0,92.0,157.0,225.0,221.0,160.0,88.0,35.0,2.0,-81.0,-118.0,0.0
-32,-36.0,-28.0,-39.0,-7.0,44.0,75.0,89.0,92.0,91.0,62.0,17.0,-15.0,0.0,6.0,27.0,0.0
-9,-18.0,-35.0,-26.0,6.0,-26.0,-21.0,-2.0,10.0,44.0,47.0,25.0,4.0,0.0,21.0,39.0,0.0
-129,-101.0,-43.0,14.0,63.0,108.0,153.0,185.0,208.0,216.0,203.0,177.0,132.0,69.0,-10.0,-92.0,0.0
110,69.0,29.0,12.0,11.0,17.0,20.0,23.0,20.0,3.0,0.0,-3.0,7.0,0.0,-6.0,-17.0,0.0
-19,-30.0,-28.0,-36.0,-41.0,-43.0,-40.0,-23.0,-7.0,6.0,0.0,-10.0,-33.0,-52.0,-65.0,-56.0,0.0
-62,-71.0,-73.0,-59.0,-48.0,-36.0,-32.0,-18.0,-16.0,1.0,30.0,62.0,88.0,101.0,118.0,121.0,0.0
57,62.0,49.0,36.0,21.0,6.0,-23.0,-39.0,-28.0,-15.0,-22.0,-34.0,-42.0,-22.0,9.0,26.0,0.0
30,22.0,8.0,6.0,8.0,7.0,8.0,-1.0,-15.0,-34.0,-41.0,-28.0,-15.0,-10.0,-6.0,-1.0,0.0
39,40.0,18.0,-5.0,-9.0,-31.0,-66.0,-66.0,-69.0,-66.0,-35.0,-6.0,37.0,104.0,162.0,160.0,0.0
-31,-33.0,-32.0,-25.0,-8.0,-6.0,-14.0,-21.0,-8.0,10.0,11.0,15.0,6.0,0.0,4.0,11.0,0.0
92,95.0,125.0,123.0,123.0,118.0,72.0,31.0,51.0,12.0,-17.0,-29.0,-24.0,-15.0,15.0,26.0,0.0
50,28.0,33.0,50.0,62.0,58.0,33.0,11.0,-36.0,-57.0,-45.0,-19.0,6.0,32.0,32.0,28.0,0.0
78,103.0,126.0,118.0,90.0,37.0,-27.0,-90.0,-126.0,-146.0,-149.0,-130.0,-108.0,-78.0,-65.0,-41.0,0.0
-74,-43.0,-14.0,-10.0,-34.0,-72.0,-96.0,-89.0,-61.0,-29.0,-2.0,3.0,-4.0,-20.0,-19.0,-18.0,0.0
44,9.0,-31.0,-65.0,-89.0,-96.0,-97.0,-92.0,-64.0,-26.0,25.0,59.0,56.0,23.0,-16.0,-48.0,0.0
7,-3.0,-11.0,-4.0,25.0,53.0,53.0,37.0,17.0,6.0,15.0,15.0,4.0,-14.0,-24.0,-24.0,0.0
46,40.0,62.0,73.0,90.0,98.0,85.0,70.0,62.0,59.0,50.0,48.0,65.0,82.0,93.0,90.0,0.0
-41,-47.0,-37.0,-18.0,-16.0,-12.0,-1.0,3.0,-15.0,-27.0,-30.0,-51.0,-61.0,-55.0,-48.0,-59.0,0.0
-11,0.0,7.0,8.0,2.0,-16.0,-32.0,-26.0,-10.0,6.0,20.0,39.0,47.0,47.0,50.0,27.0,0.0
64,22.0,-22.0,-48.0,-52.0,-39.0,-22.0,-5.0,-2.0,4.0,23.0,60.0,88.0,98.0,91.0,68.0,0.0
-22,-28.0,-18.0,-6.0,-23.0,-28.0,-14.0,-17.0,-20.0,-7.0,9.0,-2.0,-5.0,-12.0,-26.0,-52.0,0.0
29,22.0,21.0,18.0,30.0,53.0,73.0,84.0,87.0,74.0,46.0,32.0,19.0,31.0,45.0,56.0,0.0
-106,-79.0,-52.0,-21.0,26.0,74.0,108.0,122.0,116.0,80.0,42.0,2.0,-39.0,-86.0,-125.0,-137.0,0.0
121,142.0,148.0,131.0,72.0,55.0,55.0,21.0,-29.0,24.0,74.0,87.0,82.0,101.0,114.0,59.0,0.0
-31,-33.0,-38.0,-38.0,-28.0,-11.0,4.0,2.0,-6.0,-32.0,-63.0,-81.0,-87.0,-89.0,-86.0,-74.0,0.0
-6,27.0,19.0,-10.0,-36.0,-63.0,-107.0,-149.0,-133.0,-148.0,-136.0,-70.0,-58.0,-51.0,-70.0,-112.0,0.0
29,44.0,47.0,50.0,58.0,54.0,46.0,31.0,20.0,0.0,-41.0,-76.0,-101.0,-96.0,-71.0,-28.0,0.0
-61,-50.0,-30.0,-8.0,10.0,34.0,44.0,45.0,40.0,42.0,40.0,36.0,31.0,26.0,20.0,12.0,0.0
29,4.0,-19.0,-35.0,-37.0,-51.0,-66.0,-86.0,-96.0,-107.0,-108.0,-95.0,-74.0,-55.0,-43.0,-34.0,0.0
-105,-95.0,-89.0,-86.0,-82.0,-67.0,-39.0,-17.0,7.0,4.0,-19.0,-38.0,-55.0,-73.0,-94.0,-99.0,0.0
-1,7.0,21.0,38.0,42.0,39.0,31.0,30.0,26.0,14.0,10.0,6.0,5.0,9.0,12.0,5.0,0.0
0,33.0,80.0,111.0,111.0,83.0,43.0,10.0,-6.0,-8.0,-7.0,2.0,19.0,45.0,54.0,48.0,0.0
100,57.0,-3.0,-29.0,-60.0,-86.0,-74.0,-45.0,6.0,31.0,62.0,83.0,89.0,88.0,42.0,-49.0,0.0
39,54.0,64.0,71.0,50.0,15.0,-22.0,-43.0,-40.0,-21.0,-5.0,1.0,-2.0,-3.0,-6.0,-16.0,0.0
-39,-18.0,-19.0,0.0,-28.0,-13.0,25.0,11.0,12.0,-6.0,-38.0,-51.0,-48.0,-77.0,-62.0,-53.0,0.0
13,-55.0,-96.0,-127.0,-100.0,-101.0,-55.0,23.0,53.0,53.0,-12.0,-74.0,-106.0,-87.0,-91.0,-94.0,0.0
104,120.0,117.0,71.0,7.0,17.0,-17.0,-52.0,-29.0,12.0,65.0,115.0,112.0,135.0,156.0,115.0,0.0
-135,-147.0,-130.0,-94.0,-57.0,-5.0,43.0,82.0,100.0,91.0,62.0,32.0,-1.0,-18.0,-26.0,-16.0,0.0
47,42.0,28.0,25.0,53.0,61.0,72.0,65.0,43.0,28.0,15.0,16.0,23.0,43.0,79.0,98.0,0.0
-78,-57.0,-16.0,29.0,68.0,98.0,126.0,133.0,119.0,90.0,57.0,20.0,-26.0,-52.0,-72.0,-76.0,0.0
31,12.0,-20.0,-32.0,-48.0,-45.0,-28.0,57.0,66.0,85.0,97.0,67.0,15.0,-24.0,-37.0,-27.0,0.0
-49,-84.0,-65.0,-29.0,39.0,60.0,50.0,15.0,-31.0,-52.0,-36.0,-52.0,-51.0,-35.0,-65.0,-101.0,0.0
-57,-18.0,4.0,15.0,-1.0,33.0,9.0,-33.0,-90.0,-139.0,-177.0,-166.0,-144.0,-125.0,-44.0,10.0,0.0
42,2.0,-19.0,-11.0,3.0,21.0,39.0,51.0,63.0,76.0,100.0,101.0,90.0,60.0,16.0,-28.0,0.0
54,56.0,51.0,40.0,22.0,14.0,25.0,43.0,56.0,61.0,56.0,47.0,38.0,33.0,32.0,35.0,0.0
-144,-146.0,-140.0,-134.0,-113.0,-67.0,-25.0,6.0,13.0,11.0,-8.0,-28.0,-37.0,-53.0,-63.0,-83.0,0.0
-69,-66.0,-59.0,-38.0,-9.0,21.0,53.0,78.0,85.0,86.0,72.0,56.0,37.0,-3.0,-17.0,-43.0,0.0
-10,31.0,54.0,90.0,115.0,91.0,67.0,41.0,-8.0,-67.0,-89.0,-89.0,-101.0,-85.0,-26.0,9.0,0.0
-34,-20.0,-6.0,-9.0,-12.0,-7.0,-3.0,11.0,23.0,25.0,13.0,0.0,-12.0,-34.0,-52.0,-54.0,0.0
20,60.0,94.0,88.0,48.0,1.0,-21.0,-10.0,20.0,55.0,49.0,12.0,-41.0,-68.0,-58.0,-17.0,0.0
-4,-11.0,-10.0,0.0,12.0,15.0,14.0,3.0,-10.0,-13.0,-23.0,-46.0,-70.0,-92.0,-112.0,-113.0,0.0
